"CFADefense: A Security Solution to Detect and Mitigate Crossfire Attacks in Software-Defined IoT-Edge Infrastructure","W. Rafique; X. He; Z. Liu; Y. Sun; W. Dou","Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","","2019","","","500","509","","","","10.1109/HPCC/SmartCity/DSS.2019.00080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8855406","Edge computing;IoT;crossfire attack;SDN;policy consistency;waypoint enforcement","Internet of Things;Computer crime;Servers;Inspection;Control systems;Computer architecture","computer network management;computer network security;Internet of Things;software defined networking;telecommunication network routing;telecommunication traffic","network infrastructure management;numerous recent studies;policy consistency;high-level network requirements;SDN infrastructure;low-rate legitimate traffic;data plane devices;security anomalies;routing inconsistencies;policy switch attacks;CFADefense;attack detection;software-defined IoT-edge infrastructure;software-defined networking;IoT networks;distributed denial of service attacks;DDoS attack;crossfire attacks;Internet of Things infrastructure;waypoint enforcement;open-source Floodlight controller","","","","","","","","IEEE","IEEE Conferences"
"A Deep Learning Method for Judicial Decision Support","B. Chen; Y. Li; S. Zhang; H. Lian; T. He","Information Center of The Supreme People's Court of The People's Republic of China; Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","","2019","","","145","149","","","","10.1109/QRS-C.2019.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8859445","Intelligent court;Judicial data analysis;Text Categorization;FastText;TextCNN","Law;Predictive models;Deep learning;Data models;Prediction algorithms;Feature extraction","decision support systems;law administration;learning (artificial intelligence)","judicial decision support;deep learning technology;deep learning model;machine learning innovation;deep learning method;legal provisions;nonlegal professionals","","","","","","","","IEEE","IEEE Conferences"
"BENU: Distributed Subgraph Enumeration with Backtracking-Based Framework","Z. Wang; R. Gu; W. Hu; C. Yuan; Y. Huang","Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 IEEE 35th International Conference on Data Engineering (ICDE)","","2019","","","136","147","","","","10.1109/ICDE.2019.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8731551","subgraph isomorphism;subgraph matching;task parallel;backtracking","Distributed databases;Task analysis;Pattern matching;Indexes;Distributed algorithms;Scalability","computational complexity;distributed algorithms;distributed databases;graph theory","distributed subgraph enumeration;pattern graph;data graph;subgraphs;partial matching results;backtracking-based framework BENU;subgraph enumeration task;backtracking-based execution plan;distributed algorithms;inter-task locality;intra-task locality","","","","","","","","IEEE","IEEE Conferences"
"Fast-ABC: A Fast Architecture for Bottleneck-Like Based Convolutional Neural Networks","X. Xie; F. Sun; J. Lin; Z. Wang","Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)","","2019","","","1","6","","","","10.1109/ISVLSI.2019.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8839351","Convolutional neural networks (CNNs);Bottleneck-like operator;FPGA;Winograd","","convolutional neural nets;field programmable gate arrays;logic design","computational complexity;Fast-ABC;light weight networks;bottleneck-like operations;resource utilization;partial fusion strategy;Winograd algorithm;fast architecture for bottleneck-like based convolutional neural networks","","","","","","","","IEEE","IEEE Conferences"
"WaaS: Wisdom as a Service","J. Chen; J. Ma; N. Zhong; Y. Yao; J. Liu; R. Huang; W. Li; Z. Huang; Y. Gao; J. Cao","Tsinghua University; Hosei University; Maebashi Institute of Technology and Beijing University of Technology; University of Regina; Hong Kong Baptist University; Hosei University; Shijiazhuang University of Economics; Vrije University Amsterdam; Nanjing University; National University of Defense Technology","IEEE Intelligent Systems","","2014","29","6","40","47","","","","10.1109/MIS.2014.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/6813392","WaaS;W2T cycle;IoT;WoT;Big Data;hyper-world;cloud computing;intelligent systems","Social implications of technology;Social factors;Computer architecture;Internet;Information management;Man machine interaction;Data storage systems","Big Data;cloud computing;human computer interaction;Internet of Things;knowledge based systems;open systems","wisdom as a service;social-cyber-physical space;Wisdom Web of Things cycle;W2T cycle;harmonious symbiosis;intelligent information technology application;open architecture;interoperable architecture;cloud computing;Internet of Things;Big Data;open system architecture;resource sharing;resource services;open content architecture;interoperable content architecture;intelligent sharing and services;data information knowledge and wisdom hierarchy;DIKW hierarchy;pay-as-you-go IT trend;WaaS infrastructure;WaaS research;ubiquitous intelligent IT application","","24","","","09 May 2014","","","IEEE","IEEE Conferences"
"Nearest Neighbor Ensembles: An Effective Method for Difficult Problems in Streaming Classification with Emerging New Classes","X. Cai; P. Zhao; K. Ting; X. Mu; Y. Jiang","Nanjing University; Nanjing University; Federation University, Australia; Nanjing University; Nanjing University","2019 IEEE International Conference on Data Mining (ICDM)","","2019","","","970","975","","","","10.1109/ICDM.2019.00109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8970887","classification;data stream;new class;ensemble method;open and dynamic environments","","feature extraction;learning (artificial intelligence);pattern classification","feature space;class separation indicator alpha;nearest neighbor ensembles;high-alpha SENC problems;single data stream;streaming classification with emerging new classes;low-alpha SENC problems","","","","","","","","IEEE","IEEE Conferences"
"LESDroid - A Tool for Detecting Exported Service Leaks of Android Applications","J. MA; S. LIU; Y. JIANG; X. TAO; C. XU; J. LU","Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University","2018 IEEE/ACM 26th International Conference on Program Comprehension (ICPC)","","2018","","","244","24410","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8973096","Android;testing;memory leak;vulnerability;service","","Android (operating system);mobile computing;security of data;smart phones","LESDroid;Android applications;Android apps;malicious external apps;exported service leaks detection;service instances;service leak detection;leak entries","","","","","","","","IEEE","IEEE Conferences"
"SGUARD: A Feature-Based Clustering Tool for Effective Spreadsheet Defect Detection","D. Li; H. Wang; C. Xu; R. Zhang; S. Cheung; X. Ma","Nanjing University; Nanjing University; Nanjing University; Microsoft, China; The Hong Kong University of Sci. and Tech.; Nanjing University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","1142","1145","","","","10.1109/ASE.2019.00122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8952240","Cell clustering;Defect detection","","pattern clustering;security of data;spreadsheet programs","SGuard implementation;effective spreadsheet defect detection;spreadsheet features;cluster cells;anomalous cells;computational semantics","","","","","","","","IEEE","IEEE Conferences"
"Bundle protocol for data delivery over highly asymmetric deep-space channels","Z. Bian; R. Wang; K. Zhao; D. Bian; Z. Xie; Y. Qian","PLA University of Science and Technology; Lamar University and Nanjing University; Nanjing University; PLA University of Science and Technology; PLA University of Science and Technology; University of Nebraska-Lincoln","IEEE Network","","2016","30","5","68","73","","","","10.1109/MNET.2016.7579029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/7579029","","Protocols;Delays;Convergence;Reliability;Propagation delay;Tolerance analysis;Fault tolerant systems","delay tolerant networks;peer-to-peer computing;protocols;relay networks (telecommunication);space communication links","delay-disruption-tolerant networking;store-and-forward mechanism;custody transfer option;file delivery services;stressed communications environment;deep-space communication environment;signal propagation delay;bundle protocol transmission;file transfer operation;relay-based deep-space communication infrastructure;highly asymmetric channel rates;optimal bundle protocol bundle size","","2","","","","","","IEEE","IEEE Conferences"
"Cloud Database Encryption Technology Based on Combinatorial Encryption","M. Chen; X. Fu; B. Luo; X. Du; M. Guizani","Nanjing University; Nanjing University; Nanjing University; Temple University; Qatar University","2019 IEEE Global Communications Conference (GLOBECOM)","","2019","","","1","5","","","","10.1109/GLOBECOM38437.2019.9013204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9013204","","Encryption;Databases;Cloud computing;Servers;Ciphers","","","","","","","","","","IEEE","IEEE Conferences"
"A Novel Structure of Microfiber-Based Sensor for Onsite/in-Situ Detection of Heavy Metal Ions","X. Zhang; W. Ji; S. Yap Hui Kit; G. Wang; Y. Zhang; K. T. Yong; S. C. Tjin","Nanjing University; Nanjing University; Nanyang Technological University; Nanjing University; Nanjing University; Nanyang Technological University; Nanyang Technological University","2018 Conference on Lasers and Electro-Optics Pacific Rim (CLEO-PR)","","2018","","","1","2","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8699818","","Metals;Ions;Optical fiber sensors;Fiber gratings;Optical fibers","Bragg gratings;chemical sensors;fibre optic sensors;micro-optics;microsensors","microfiber-based sensor;heavy metal ions;sensing structure;nonadiabatic microfiber;onsite-in-situ detection;fiber Bragg gratings;chelating agent","","","","","","","","IEEE","IEEE Conferences"
"Quality Driven Judicial Data Governance","T. He; S. Chen; L. Hao; J. Liu","Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","","2019","","","66","70","","","","10.1109/QRS-C.2019.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8859426","data quality;judicial data governance;quality measurement","Data integrity;Big Data;Decision making;Organizations;Standards organizations","business data processing;data analysis;government data processing;law;trademarks","data assets;data quality control;data service development;judicial business data;data governance method;judicial data governance;Smart Court 3.0;data governance system;judicial data quality measurement","","","","","","","","IEEE","IEEE Conferences"
"LIP: Local Importance-Based Pooling","Z. Gao; L. Wang; G. Wu","Nanjing University; Nanjing University; Nanjing University","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","3354","3363","","","","10.1109/ICCV.2019.00345","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9010729","","Lips;Convolution;Task analysis;Clutter;Feature extraction;Aggregates;Neural networks","convolutional neural nets;image classification;importance sampling;learning (artificial intelligence)","local importance-based pooling;spatial downsampling layers;convolutional neural networks;downsampling layers;pooling layers;local importance modeling;discriminative features;downsampling procedure;adaptive importance weights;LIP-ResNets;CNN;ImageNet classification;MS COCO dataset","","","","","","","","IEEE","IEEE Conferences"
"Resource Reservation and Request Routing for a Cloud-Based Content Delivery Network","Q. Fan; Y. Jiang; H. Yin; Y. Lyu; H. Huang; X. Zhang","Chongqing University; Norwegian University of Science and Technology (NTNU); Tsinghua University; Tsinghua University; China University of Geosciences; Nanjing University","2019 IEEE International Conference on Service-Oriented System Engineering (SOSE)","","2019","","","281","2815","","","","10.1109/SOSE.2019.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8705926","content delivery network, resource reservation, request routing, cloud, heuristic algorithm","Data centers;Cloud computing;Optimization;Bandwidth;Routing;Servers;Linear programming","cloud computing;content management;optimisation;pricing;resource allocation;telecommunication traffic","cloud-based content delivery network;content delivery networks;promising content-distribution-as-a-service alternative;pay-as-you-go business model;cloud-based CDN;flexible cost-effective solution;geographical diversity;cloud resource prices;optimal resource reservation problem;cloud resources;trade-off between rental cost;user experience;request routing optimization problem;user requests","","1","","","","","","IEEE","IEEE Conferences"
