"Modern Hardware Margins: CPUs, GPUs, FPGAs Recent System-Level Studies","D. Gizopoulos; G. Papadimitriou; A. Chatzidimitriou; V. J. Reddi; B. Salami; O. S. Unsal; A. C. Kestelman; J. Leng","University of Athens; University of Athens; University of Athens; Harvard University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Barcelona Supercomputing Center","2019 IEEE 25th International Symposium on On-Line Testing and Robust System Design (IOLTS)","","2019","","","129","134","","","","10.1109/IOLTS.2019.8854386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8854386","voltage margins;power consumption;energy efficiency;multicore CPU;many-core GPU;FPGA;accelerators","Multicore processing;Field programmable gate arrays;Voltage measurement;Microprocessors;Graphics processing units;Clocks;Benchmark testing","computer centres;field programmable gate arrays;graphics processing units;multiprocessing systems;power aware computing;power consumption","modern hardware margins;FPGAs recent system-level studies;modern large-scale computing systems;data centers;edge setups;cyber-physical systems;heterogeneous architectures;general-purpose many-core GPUs;programmable FPGAs;power consumption;galloping adoption;hardware accelerators;large-scale computing infrastructures;safe voltage reduction levels;voltage margins reduction;system level;modern CPUs;pessimistic voltage guardbands;significant power savings;manycore GPUs;cloud computing system","","","","","","","","IEEE","IEEE Conferences"
"Can Subthreshold and Near-Threshold Circuits Go Mainstream?","B. H. Calhoun; D. Brooks","University of Virginia; Harvard University","IEEE Micro","","2010","30","4","80","85","","","","10.1109/MM.2010.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/5551003","Prolegomena;subthrehold circuits;near-threshold circuits","Delay;Program processors;Sensors;Noise;System-on-a-chip;Computer architecture;Transistors","CMOS integrated circuits;low-power electronics;threshold elements","subthreshold circuits;near-threshold circuits","","16","","","","","","IEEE","IEEE Conferences"
"DYNAMIC LOCAL TRACING FOR 3D AXON CURVILINEAR STRUCTURE DETECTION FROM MICROSCOPIC IMAGE STACK","J. Wanga; X. Zhou; J. Lu; J. Lichtman; S. Chang; S. T. Wong","Harvard University; Center for Bioinf., Harvard Med. Sch., Boston, MA; Harvard University; Harvard University; Columbia University; Harvard University","2007 4th IEEE International Symposium on Biomedical Imaging: From Nano to Macro","","2007","","","81","84","","","","10.1109/ISBI.2007.356793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/4193227","","Nerve fibers;Microscopy;Inspection;Image generation;Robustness;Data mining;Legged locomotion;Costs;Shortest path problem;Graph theory","feature extraction;medical image processing;neurophysiology;optical microscopy","3D axon curvilinear structure;axons;feature extraction;dynamic local tracing technique;linear computation complexity;microscopic image stacks","","11","","","","","","IEEE","IEEE Conferences"
"MEMTI: Optimizing On-Chip Nonvolatile Storage for Visual Multitask Inference at the Edge","M. Donato; L. Pentecost; D. Brooks; G. Wei","Harvard University; Harvard University; Harvard University; Harvard University","IEEE Micro","","2019","39","6","73","81","","","","10.1109/MM.2019.2944782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8859219","DNN accelerators;edge computing;multi-task learning;non-volatile memories","Task analysis;Random access memory;Circuit faults;Adaptation models;System-on-chip;Nonvolatile memory;Integrated circuit modeling","learning (artificial intelligence);memory architecture;neural nets;random-access storage","visual inference tasks;open-source NVIDIA deep learning architecture;MEMTI;on-chip nonvolatile storage;visual multitask inference;specialized hardware;nonvolatile memories;eNVM;energy-efficient deep neural network inference;DNN hardware accelerators;multilevel programming;maximal storage density;stochastic nature;memory architecture;multitask learning technique;maximal reuse;DNN parameters;multiple visual tasks","","","","","04 October 2019","","","IEEE","IEEE Conferences"
"Functional Parcellation of Attentional Control Regions of the Brain","M. G. Woldorff; C. J. Hazlett; H. M. Fichtenholtz; D. H. Weissman; A. M. Dale; A. W. Song","Duke University; Duke University; Duke University; Duke University; Harvard University; Duke University","Journal of Cognitive Neuroscience","","2004","16","1","149","165","","","","10.1162/089892904322755638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/6789975","","","","","","","","","","","","MITP","IEEE Conferences"
"Establishing The Okapi Rain Forest Reserve: Avoiding Human Land-use Conflicts Using Satellite Image Analysis","D. Wilkie","Harvard University","10th Annual International Symposium on Geoscience and Remote Sensing","","1990","","","233","236","","","","10.1109/IGARSS.1990.688321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/688321","","Rain;Humans;Satellites;Animals;Protection;Image analysis;Image converters;Remote sensing;Global Positioning System;Rodents","","","","1","","","","","","IEEE","IEEE Conferences"
"New horizons in quantum electronics","N. Bloembergen","Harvard University","IEEE Spectrum","","1967","4","7","82","86","","","","10.1109/MSPEC.1967.5215857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/5215857","","Superconducting magnets;Superconducting photodetectors;Type II superconductors;Electrons;Power generation economics;Quantum mechanics;Economic forecasting;Tunneling;Josephson junctions;Superconducting films","","","","","","","","","","IEEE","IEEE Conferences"
"Mutual information scheduling for ranking","H. Aftab; N. Raj; P. Cuff; S. Kulkarni","Princeton University; Harvard University; Princeton University; Princeton University","14th International Conference on Information Fusion","","2011","","","1","8","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/5977497","Ranking;pair-wise comparison;mutual information;scheduling;importance sampling","Mutual information;Entropy;Random variables;Maximum likelihood estimation;Heuristic algorithms;Scheduling;Scheduling algorithm","information retrieval;scheduling","mutual information scheduling;ranking estimation;pairwise comparisons;pair selection;natural heuristic;importance sampling","","","","","","","","IEEE","IEEE Conferences"
"Series Foreword","K. S. Gallagher; X. Xuan; J. P. Holdren; J. Zhang; M. E. Kraft; S. Kamieniecki","Tufts University; ; Harvard University; State Council of China; University of Wisconsin-Green Bay; University of California","Titans of the Climate: Explaining Policy Process in the United States and China","","","","","vii","ix","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8618076","","Meteorology;Greenhouse effect;Urban areas;Fossil fuels;Coal;Economics","","","","","","","","","","MIT Press","IEEE Conferences"
"Ssecrett and NeuroTrace: Interactive Visualization and Analysis Tools for Large-Scale Neuroscience Data Sets","W. Jeong; J. Beyer; M. Hadwiger; R. Blue; C. Law; A. Vázquez-Reina; R. C. Reid; J. Lichtman; H. Pfister","Harvard University; King Abdullah University of Science and Technology; King Abdullah University of Science and Technology; Kitware; Kitware; Tufts University; Harvard Medical School; Harvard University; Harvard University","IEEE Computer Graphics and Applications","","2010","30","3","58","70","","","","10.1109/MCG.2010.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/5455822","neuroscience;connectome;segmentation;volume rendering;implicit surface rendering;graphics hardware;computer graphics;graphics and multimedia","Data visualization;Large-scale systems;Neuroscience;Electron microscopy;Image analysis;Electron optics;Image reconstruction;Circuits;Nervous system","data visualisation;electron microscopy;interactive systems;medical image processing;neurophysiology;optical microscopy","interactive visualization;analysis tools;large scale neuroscience data sets;electron microscopes;Ssecrett tool;NeuroTrace tool;interactive exploration;interactive analysis;complex neural circuits;mammalian nervous system;optical microscopy image;electron-microscopy images","","45","","","","","","IEEE","IEEE Conferences"
